ProductID,WarehouseID,StockLevel,MaxStockLevel
P122,W8,146,228
P122,W9,49,179
P122,W10,156,266
P123,W1,41,183
P123,W2,250,356
P123,W3,166,306
P123,W4,60,112
P123,W5,258,390
P123,W6,18,105
P123,W7,234,350
P123,W8,151,266
P123,W9,119,219
P123,W10,244,367
P124,W1,193,294
P124,W2,20,148
P124,W3,151,218
P124,W4,191,317
P124,W5,75,142
P124,W6,212,346
P124,W7,223,323
P124,W8,199,309
P124,W9,145,210
P124,W10,228,296
P125,W1,213,315
P125,W2,280,337
P125,W3,278,400
P125,W4,153,232
P125,W5,95,150
P125,W6,136,209
P125,W7,267,323
P125,W8,228,336
P125,W9,177,290
P125,W10,273,358
P126,W1,53,184
P126,W2,40,138
P126,W3,112,219
P126,W4,153,221
P126,W5,16,126
P126,W6,47,159
P126,W7,77,218
P126,W8,201,337
P126,W9,231,361
P126,W10,151,272
P127,W1,65,153
P127,W2,264,336
P127,W3,68,141
P127,W4,267,389
P127,W5,51,171
P127,W6,187,240
P127,W7,86,136
P127,W8,144,276
P127,W9,208,290
P127,W10,265,404
P128,W1,288,388
P128,W2,256,337
P128,W3,182,321
P128,W4,199,305
P128,W5,294,422
P128,W6,38,138
P128,W7,165,251
P128,W8,139,265
P128,W9,54,176
P128,W10,181,289
P129,W1,203,273
P129,W2,61,199
P129,W3,195,260
P129,W4,18,86
P129,W5,3,115
P129,W6,139,208
P129,W7,262,331
P129,W8,296,351
P129,W9,170,256
P129,W10,139,259
P130,W1,244,320
P130,W2,54,141
P130,W3,145,203
P130,W4,229,363
P130,W5,222,363
P130,W6,101,174
P130,W7,86,184
P130,W8,285,377
P130,W9,100,195
P130,W10,46,120
P131,W1,231,359
P131,W2,52,165
P131,W3,186,298
P131,W4,128,244
P131,W5,230,354
P131,W6,168,247
P131,W7,205,331
P131,W8,178,241
P131,W9,111,248
P131,W10,290,423
P132,W1,153,236
P132,W2,119,256
P132,W3,52,142
P132,W4,268,366
P132,W5,100,246
P132,W6,128,189
P132,W7,288,423
P132,W8,69,146
P132,W9,248,335
P132,W10,138,227
P133,W1,271,384
P133,W2,133,265
P133,W3,227,313
P133,W4,247,348
P133,W5,291,359
P133,W6,188,322
P133,W7,257,367
P133,W8,130,208
P133,W9,279,366
P133,W10,94,214
P134,W1,90,230
P134,W2,20,129
P134,W3,241,373
P134,W4,208,280
P134,W5,10,80
P134,W6,279,330
P134,W7,64,130
P134,W8,2,144
P134,W9,279,426
P134,W10,2,96
P135,W1,75,136
P135,W2,88,232
P135,W3,142,246
P135,W4,108,194
P135,W5,4,76
P135,W6,159,212
P135,W7,120,258
P135,W8,43,179
P135,W9,186,270
P135,W10,4,80
P136,W1,25,158
P136,W2,78,173
P136,W3,8,93
P136,W4,1,91
P136,W5,90,156
P136,W6,271,387
P136,W7,159,218
P136,W8,13,157
P136,W9,283,414
P136,W10,150,219
P137,W1,237,332
P137,W2,217,277
P137,W3,280,376
P137,W4,124,206
P137,W5,181,303
P137,W6,128,229
P137,W7,122,237
P137,W8,106,187
P137,W9,208,271
P137,W10,21,93
P138,W1,152,230
P138,W2,235,353
P138,W3,266,316
P138,W4,286,374
P138,W5,110,253
P138,W6,69,128
P138,W7,72,131
P138,W8,64,142
P138,W9,113,176
P138,W10,261,394
P139,W1,242,363
P139,W2,263,339
P139,W3,243,366
P139,W4,227,369
P139,W5,113,215
P139,W6,165,267
P139,W7,153,247
P139,W8,39,173
P139,W9,229,352
P139,W10,218,333
P140,W1,142,271
P140,W2,232,323
P140,W3,102,214
P140,W4,139,197
P140,W5,44,107
P140,W6,263,387
P140,W7,15,112
P140,W8,69,190
P140,W9,261,399
P140,W10,261,338
P141,W1,105,161
P141,W2,69,195
P141,W3,83,224
P141,W4,126,184
P141,W5,142,215
P141,W6,94,198
P141,W7,54,105
P141,W8,205,354
P141,W9,26,82
P141,W10,185,291
P142,W1,45,114
P142,W2,172,307
P142,W3,87,192
P142,W4,134,249
P142,W5,242,354
P142,W6,215,274
P142,W7,100,202
P142,W8,185,257
P142,W9,59,188
P142,W10,290,422
P143,W1,223,338
P143,W2,219,315
P143,W3,292,392
P143,W4,260,361
P143,W5,125,214
P143,W6,214,296
P143,W7,88,165
P143,W8,248,335
P143,W9,71,204
P143,W10,137,252
P144,W1,153,294
P144,W2,175,227
P144,W3,102,238
P144,W4,13,101
P144,W5,43,104
P144,W6,74,138
P144,W7,136,238
P144,W8,5,123
P144,W9,291,347
P144,W10,275,367
P145,W1,28,159
P145,W2,66,179
P145,W3,246,319
P145,W4,130,225
P145,W5,280,394
P145,W6,205,270
P145,W7,38,116
P145,W8,79,217
P145,W9,170,315
P145,W10,185,307
P146,W1,94,191
P146,W2,132,244
P146,W3,71,180
P146,W4,103,205
P146,W5,289,360
P146,W6,72,155
P146,W7,242,362
P146,W8,142,237
P146,W9,193,324
P146,W10,238,332
P147,W1,98,192
P147,W2,28,126
P147,W3,276,389
P147,W4,77,181
P147,W5,297,402
P147,W6,92,220
P147,W7,265,390
P147,W8,9,114
P147,W9,178,309
P147,W10,215,285
P148,W1,184,331
P148,W2,118,253
P148,W3,89,188
P148,W4,254,359
P148,W5,235,368
P148,W6,254,334
P148,W7,228,286
P148,W8,98,233
P148,W9,7,142
P148,W10,20,150
P149,W1,68,178
P149,W2,124,250
P149,W3,261,328
P149,W4,71,181
P149,W5,78,199
P149,W6,23,103
P149,W7,149,249
P149,W8,169,224
P149,W9,178,228
P149,W10,33,142
P150,W1,237,308
P150,W2,217,284
P150,W3,84,221
P150,W4,26,143
P150,W5,70,145
P150,W6,29,107
P150,W7,36,169
P150,W8,104,243
P150,W9,118,208
P150,W10,210,285
P151,W1,248,309
P151,W2,85,166
P151,W3,20,136
P151,W4,293,436
P151,W5,16,133
P151,W6,154,230
P151,W7,248,307
P151,W8,2,101
P151,W9,65,154
P151,W10,38,131
P152,W1,11,151
P152,W2,172,281
P152,W3,283,393
P152,W4,240,358
P152,W5,84,136
P152,W6,223,291
P152,W7,11,144
P152,W8,126,186
P152,W9,184,332
P152,W10,62,159
P153,W1,42,108
P153,W2,150,235
P153,W3,82,190
P153,W4,108,194
P153,W5,158,219
P153,W6,248,327
P153,W7,255,317
P153,W8,152,251
P153,W9,199,338
P153,W10,149,285
P154,W1,225,308
P154,W2,214,316
P154,W3,34,86
P154,W4,196,280
P154,W5,17,105
P154,W6,68,158
P154,W7,235,364
P154,W8,143,291
P154,W9,122,184
P154,W10,138,264
P155,W1,11,112
P155,W2,10,68
P155,W3,165,243
P155,W4,150,296
P155,W5,86,191
P155,W6,85,159
P155,W7,35,110
P155,W8,78,198
P155,W9,177,253
P155,W10,181,244
P156,W1,65,163
P156,W2,218,302
P156,W3,61,173
P156,W4,48,137
P156,W5,278,349
P156,W6,20,150
P156,W7,290,400
P156,W8,66,173
P156,W9,271,328
P156,W10,16,92
P157,W1,156,233
P157,W2,251,325
P157,W3,283,421
P157,W4,135,190
P157,W5,288,421
P157,W6,44,135
P157,W7,144,266
P157,W8,163,279
P157,W9,63,125
P157,W10,84,227
P158,W1,275,381
P158,W2,230,332
P158,W3,133,206
P158,W4,246,351
P158,W5,176,265
P158,W6,205,348
P158,W7,201,318
P158,W8,39,104
P158,W9,205,324
P158,W10,253,359
P159,W1,153,248
P159,W2,28,113
P159,W3,166,235
P159,W4,173,278
P159,W5,93,179
P159,W6,288,431
P159,W7,193,302
P159,W8,194,286
P159,W9,52,114
P159,W10,62,186
P160,W1,240,324
P160,W2,285,426
P160,W3,209,310
P160,W4,199,307
P160,W5,104,166
P160,W6,252,316
P160,W7,186,265
P160,W8,247,343
P160,W9,255,375
P160,W10,231,345
P161,W1,122,213
P161,W2,212,340
P161,W3,59,182
P161,W4,261,359
P161,W5,73,211
P161,W6,46,128
P161,W7,66,131
P161,W8,214,323
P161,W9,115,249
P161,W10,28,113
P162,W1,155,268
P162,W2,293,403
P162,W3,285,400
P162,W4,64,155
P162,W5,128,266
P162,W6,147,202
P162,W7,71,206
P162,W8,299,423
P162,W9,157,306
P162,W10,70,170
P163,W1,202,311
P163,W2,83,160
P163,W3,93,200
P163,W4,197,259
P163,W5,235,321
P163,W6,291,411
P163,W7,43,163
P163,W8,211,284
P163,W9,134,223
P163,W10,37,137
P164,W1,32,154
P164,W2,146,254
P164,W3,41,106
P164,W4,75,197
P164,W5,171,280
P164,W6,139,288
P164,W7,274,355
P164,W8,118,220
P164,W9,1,132
P164,W10,62,207
P165,W1,166,239
P165,W2,134,269
P165,W3,223,343
P165,W4,110,258
P165,W5,146,211
P165,W6,81,162
P165,W7,173,286
P165,W8,38,116
P165,W9,121,195
P165,W10,188,297
P166,W1,83,140
P166,W2,130,221
P166,W3,223,353
P166,W4,153,274
P166,W5,221,277
P166,W6,90,194
P166,W7,16,110
P166,W8,117,214
P166,W9,179,318
P166,W10,155,208
P167,W1,161,243
P167,W2,76,127
P167,W3,30,138
P167,W4,3,102
P167,W5,30,175
P167,W6,163,245
P167,W7,258,345
P167,W8,244,350
P167,W9,207,311
P167,W10,41,167
P168,W1,40,145
P168,W2,9,145
P168,W3,78,207
P168,W4,17,96
P168,W5,245,378
P168,W6,233,368
P168,W7,87,200
P168,W8,173,266
P168,W9,54,187
P168,W10,78,173
P169,W1,159,259
P169,W2,270,387
P169,W3,106,171
P169,W4,28,115
P169,W5,111,182
P169,W6,291,393
P169,W7,116,214
P169,W8,61,189
P169,W9,122,212
P169,W10,237,368
P170,W1,257,382
P170,W2,16,94
P170,W3,13,101
P170,W4,179,237
P170,W5,257,402
P170,W6,297,425
P170,W7,59,138
P170,W8,95,227
P170,W9,204,267
P170,W10,283,383
P171,W1,138,258
P171,W2,206,330
P171,W3,171,239
P171,W4,223,349
P171,W5,267,350
P171,W6,232,341
P171,W7,274,411
P171,W8,36,153
P171,W9,251,307
P171,W10,69,218
P172,W1,33,121
P172,W2,280,342
P172,W3,280,357
P172,W4,85,168
P172,W5,255,307
P172,W6,122,236
P172,W7,164,265
P172,W8,91,187
P172,W9,228,323
P172,W10,29,129
P173,W1,202,298
P173,W2,116,222
P173,W3,245,373
P173,W4,257,337
P173,W5,101,192
P173,W6,39,142
P173,W7,81,197
P173,W8,237,315
P173,W9,73,206
P173,W10,244,354
P174,W1,185,327
P174,W2,132,215
P174,W3,210,352
P174,W4,48,161
P174,W5,251,386
P174,W6,260,385
P174,W7,164,237
P174,W8,211,275
P174,W9,260,375
P174,W10,274,423
P175,W1,276,342
P175,W2,9,152
P175,W3,201,257
P175,W4,109,198
P175,W5,146,201
P175,W6,83,144
P175,W7,187,302
P175,W8,121,265
P175,W9,110,227
P175,W10,278,416
P176,W1,138,193
P176,W2,284,374
P176,W3,55,125
P176,W4,120,170
P176,W5,235,356
P176,W6,283,341
P176,W7,171,225
P176,W8,65,138
P176,W9,167,301
P176,W10,266,341
P177,W1,141,244
P177,W2,117,172
P177,W3,182,251
P177,W4,191,261
P177,W5,183,279
P177,W6,119,212
P177,W7,104,164
P177,W8,204,312
P177,W9,296,413
P177,W10,83,142
P178,W1,126,214
P178,W2,114,262
P178,W3,61,166
P178,W4,232,313
P178,W5,195,260
P178,W6,102,186
P178,W7,284,369
P178,W8,254,340
P178,W9,72,134
P178,W10,210,342
P179,W1,150,225
P179,W2,261,361
P179,W3,63,113
P179,W4,292,388
P179,W5,150,266
P179,W6,22,75
P179,W7,64,181
P179,W8,94,181
P179,W9,89,208
P179,W10,234,340
P180,W1,132,226
P180,W2,273,359
P180,W3,194,338
P180,W4,48,146
P180,W5,92,212
P180,W6,21,146
P180,W7,187,241
P180,W8,63,156
P180,W9,34,178
P180,W10,281,344
P181,W1,228,347
P181,W2,156,292
P181,W3,260,382
P181,W4,98,168
P181,W5,257,340
P181,W6,136,251
P181,W7,166,281
P181,W8,281,382
P181,W9,237,376
P181,W10,39,128
P182,W1,162,260
P182,W2,252,325
P182,W3,213,351
P182,W4,148,229
P182,W5,177,232
P182,W6,171,308
P182,W7,175,303
P182,W8,90,165
P182,W9,175,259
P182,W10,163,306
P183,W1,214,327
P183,W2,140,274
P183,W3,81,178
P183,W4,260,338
P183,W5,67,194
P183,W6,64,115
P183,W7,24,90
P183,W8,112,246
P183,W9,187,327
P183,W10,234,320
P184,W1,152,209
P184,W2,258,402
P184,W3,72,175
P184,W4,93,211
P184,W5,66,141
P184,W6,157,276
P184,W7,288,409
P184,W8,257,363
P184,W9,8,105
P184,W10,66,117
P185,W1,149,202
P185,W2,249,380
P185,W3,166,259
P185,W4,47,148
P185,W5,132,225
P185,W6,199,323
P185,W7,244,361
P185,W8,203,298
P185,W9,240,320
P185,W10,196,302
P186,W1,177,311
P186,W2,171,315
P186,W3,253,350
P186,W4,171,301
P186,W5,146,236
P186,W6,12,87
P186,W7,127,234
P186,W8,246,368
P186,W9,20,119
P186,W10,64,210
P187,W1,268,323
P187,W2,198,256
P187,W3,137,200
P187,W4,256,359
P187,W5,180,284
P187,W6,136,212
P187,W7,251,388
P187,W8,7,63
P187,W9,126,274
P187,W10,7,125
P188,W1,176,281
P188,W2,67,198
P188,W3,253,378
P188,W4,61,128
P188,W5,287,354
P188,W6,14,115
P188,W7,197,300
P188,W8,66,133
P188,W9,175,301
P188,W10,34,168
P189,W1,220,313
P189,W2,73,137
P189,W3,64,160
P189,W4,296,431
P189,W5,57,175
P189,W6,39,108
P189,W7,241,293
P189,W8,281,387
P189,W9,110,199
P189,W10,77,208
P190,W1,125,178
P190,W2,55,197
P190,W3,124,259
P190,W4,43,103
P190,W5,55,109
P190,W6,14,75
P190,W7,236,323
P190,W8,156,284
P190,W9,219,288
P190,W10,33,111
P191,W1,181,317
P191,W2,248,373
P191,W3,38,165
P191,W4,79,136
P191,W5,13,122
P191,W6,145,210
P191,W7,171,289
P191,W8,222,278
P191,W9,94,181
P191,W10,62,123
P192,W1,146,267
P192,W2,272,373
P192,W3,59,141
P192,W4,145,203
P192,W5,5,113
P192,W6,275,347
P192,W7,90,187
P192,W8,126,201
P192,W9,196,253
P192,W10,52,105
P193,W1,117,183
P193,W2,135,260
P193,W3,212,349
P193,W4,26,87
P193,W5,34,162
P193,W6,137,199
P193,W7,153,234
P193,W8,167,307
P193,W9,213,339
P193,W10,280,404
P194,W1,53,186
P194,W2,263,408
P194,W3,38,107
P194,W4,21,113
P194,W5,169,307
P194,W6,202,343
P194,W7,286,343
P194,W8,67,157
P194,W9,117,254
P194,W10,299,408
P195,W1,7,98
P195,W2,228,334
P195,W3,162,284
P195,W4,193,268
P195,W5,280,408
P195,W6,4,62
P195,W7,246,385
P195,W8,72,150
P195,W9,146,203
P195,W10,188,298
P196,W1,64,170
P196,W2,98,189
P196,W3,62,136
P196,W4,11,71
P196,W5,168,227
P196,W6,24,143
P196,W7,107,218
P196,W8,277,384
P196,W9,47,101
P196,W10,218,294
P197,W1,37,119
P197,W2,2,71
P197,W3,208,294
P197,W4,275,405
P197,W5,250,361
P197,W6,283,364
P197,W7,116,168
P197,W8,122,203
P197,W9,214,356
P197,W10,113,209
P198,W1,44,132
P198,W2,185,263
P198,W3,172,299
P198,W4,165,308
P198,W5,21,84
P198,W6,192,263
P198,W7,190,246
P198,W8,216,279
P198,W9,112,219
P198,W10,97,151
P199,W1,15,68
P199,W2,239,386
P199,W3,24,156
P199,W4,224,335
P199,W5,243,352
P199,W6,216,345
P199,W7,127,249
P199,W8,116,262
P199,W9,234,308
P199,W10,111,179
P200,W1,37,156
P200,W2,128,222
P200,W3,18,126
P200,W4,37,105
P200,W5,161,279
P200,W6,137,262
P200,W7,84,205
P200,W8,43,188
P200,W9,44,133
P200,W10,61,193
