SaleDate,ProductID,WarehouseID,UnitsSold,Revenue
2025-11-24,P152,W2,20,35040
2025-06-22,P157,W1,39,35412
2024-10-26,P142,W7,2,1842
2024-02-04,P148,W8,36,51984
2024-01-17,P148,W7,48,23184
2024-09-18,P143,W8,42,10920
2024-02-16,P139,W4,39,64896
2025-06-06,P104,W2,10,9460
2024-04-27,P152,W8,32,42016
2025-07-02,P146,W4,14,4172
2025-03-30,P119,W4,31,32426
2025-11-22,P192,W2,36,40860
2025-04-28,P123,W5,11,3421
2025-04-14,P121,W3,38,21926
2025-05-08,P182,W1,21,8715
2025-11-11,P129,W2,3,1074
2025-08-02,P132,W4,43,73014
2024-01-04,P191,W2,35,24045
2025-02-23,P194,W2,33,45144
2025-11-18,P161,W1,5,9795
2025-09-15,P162,W2,29,57304
2024-08-23,P168,W6,35,70000
2024-01-05,P173,W9,40,68360
2025-01-25,P178,W7,28,46648
2024-04-10,P152,W2,39,40326
2024-04-10,P160,W4,12,13572
2025-11-16,P150,W4,9,20700
2025-01-15,P113,W3,9,19440
2024-06-23,P160,W1,4,2132
2024-12-17,P190,W4,4,5168
2025-01-04,P129,W1,31,71548
2024-03-13,P196,W3,44,108680
2024-11-05,P155,W1,36,72432
2025-07-09,P161,W7,34,42126
2024-11-25,P110,W7,37,59829
2024-12-28,P149,W4,4,6012
2024-02-09,P147,W1,34,71536
2024-02-11,P105,W2,40,98440
2025-12-20,P128,W4,15,6420
2024-04-07,P127,W8,48,41424
2024-11-06,P177,W10,29,52461
2025-08-26,P177,W7,45,95220
2025-11-18,P110,W5,12,22740
2025-01-07,P175,W10,18,24372
2024-04-05,P189,W9,43,81356
2024-11-17,P108,W6,9,10440
2025-02-24,P145,W4,12,20232
2024-06-28,P100,W3,18,6786
2025-04-18,P169,W2,30,53130
2025-09-19,P179,W5,5,7755
2025-04-06,P145,W9,20,28660
2025-12-25,P121,W1,18,14850
2024-10-18,P120,W6,49,35182
2025-08-06,P126,W7,35,86065
2024-02-05,P113,W10,42,26964
2024-10-20,P111,W5,23,50370
2025-03-24,P118,W6,10,23770
2025-02-05,P121,W4,10,7500
2025-06-26,P197,W6,39,48867
2025-11-16,P134,W9,30,27570
2024-03-07,P143,W8,22,11726
2024-10-10,P146,W9,28,34664
2025-10-10,P189,W10,28,12600
2024-02-24,P151,W3,49,31605
2025-09-30,P200,W2,27,63720
2024-06-23,P152,W1,41,92496
2025-10-22,P123,W6,5,2135
2025-04-24,P166,W4,38,17898
2024-06-11,P157,W8,46,59478
2025-01-22,P147,W2,12,15216
2024-06-19,P129,W5,33,61182
2024-11-24,P133,W8,30,32040
2025-06-27,P186,W5,47,47564
2025-07-19,P160,W3,33,20988
2025-07-20,P190,W9,38,65664
2024-04-22,P158,W9,29,30769
2024-12-23,P176,W5,47,12502
2024-02-02,P126,W6,41,30586
2025-10-24,P162,W6,35,41895
2024-08-02,P182,W5,32,58464
2024-11-24,P183,W4,2,4508
2024-09-04,P174,W9,19,12559
2024-01-14,P165,W6,15,17730
2024-05-21,P156,W8,10,8010
2025-04-19,P128,W1,11,21142
2025-07-25,P171,W10,48,10176
2025-04-09,P187,W8,42,22134
2024-04-03,P174,W6,42,22260
2024-07-15,P191,W6,45,101160
2025-11-12,P111,W10,28,58884
2024-10-03,P194,W1,49,88690
2024-04-05,P170,W3,15,8220
2025-04-23,P191,W4,41,73349
2024-03-18,P188,W2,39,37362
2024-07-03,P113,W3,8,8992
2025-05-03,P119,W10,14,11228
2024-10-23,P138,W9,19,42560
2024-09-05,P105,W9,35,52675
2025-12-29,P129,W8,28,19572
2025-09-27,P141,W3,9,5166
2024-06-15,P165,W3,3,4950
2024-10-24,P109,W4,39,91065
2025-12-03,P112,W1,47,9588
2024-02-17,P109,W6,33,62634
2025-01-21,P142,W2,39,92859
2024-06-13,P140,W5,35,19355
2025-10-25,P181,W3,4,8388
2025-10-24,P158,W2,19,44536
2025-09-24,P160,W1,39,83889
2024-06-26,P191,W5,45,47475
2024-06-17,P160,W2,21,14805
2024-08-12,P180,W3,8,13376
2025-01-24,P146,W5,42,35196
2024-09-12,P169,W8,31,15562
2025-03-29,P121,W10,23,13869
2024-12-04,P126,W3,11,19822
2024-03-03,P100,W6,3,3777
2025-02-07,P119,W10,6,7398
2025-11-07,P171,W7,15,19770
2024-10-17,P185,W3,2,1774
2024-06-18,P190,W3,3,1071
2024-05-24,P182,W2,19,7467
2024-12-14,P182,W10,42,4578
2025-08-22,P158,W2,15,24030
2025-03-04,P184,W3,35,82460
2025-04-13,P128,W6,45,51345
2024-08-21,P148,W10,4,2632
2025-04-08,P102,W5,6,7350
2024-01-03,P159,W6,2,4766
2024-09-02,P108,W7,3,2904
2025-01-17,P176,W9,45,58365
2024-09-23,P106,W4,49,64092
2025-12-26,P138,W2,47,41031
2024-10-14,P177,W5,7,9961
2024-03-21,P151,W3,1,1073
2024-03-23,P195,W9,45,55395
2025-07-07,P194,W2,40,59840
2025-08-02,P168,W1,37,8177
2024-08-07,P173,W1,47,63873
2025-03-06,P177,W8,2,682
2025-05-20,P139,W9,16,30960
2024-06-20,P171,W10,6,7764
2024-06-27,P136,W5,12,17496
2024-11-04,P167,W10,31,69564
2025-02-02,P188,W4,33,16797
2024-01-22,P167,W10,39,36231
2025-07-25,P136,W5,14,29834
2024-08-13,P193,W7,29,71804
2024-01-07,P135,W10,23,12696
2025-07-14,P170,W10,6,6876
2024-12-10,P154,W1,36,34056
2025-01-31,P156,W1,39,56316
2024-07-16,P167,W7,22,23540
2025-10-03,P127,W6,11,16621
2024-04-28,P153,W9,49,54733
2025-05-09,P154,W7,13,7605
2024-03-16,P127,W9,34,77996
2025-06-05,P136,W4,30,56310
2025-08-11,P148,W10,6,13020
2025-08-28,P193,W6,8,12824
2024-08-10,P131,W6,24,31248
2025-06-01,P162,W10,47,47423
2025-11-28,P103,W6,24,51456
2025-06-12,P191,W5,32,13760
2024-10-27,P116,W2,14,3332
2025-07-12,P155,W5,22,16038
2024-01-22,P197,W1,1,2175
2024-04-07,P190,W6,5,3890
2024-07-09,P174,W9,47,96209
2025-04-01,P190,W2,26,64298
2025-01-18,P197,W2,32,59584
2024-08-18,P123,W3,5,10975
2025-09-24,P173,W4,5,10285
2025-01-20,P102,W9,26,55250
2024-05-07,P173,W7,36,77112
2025-03-11,P123,W10,43,36937
2025-03-06,P156,W10,18,19404
2024-07-24,P188,W7,15,35640
2025-05-10,P128,W3,17,24633
2024-06-05,P103,W6,47,36754
2025-10-04,P134,W7,20,27880
2025-08-25,P181,W2,19,16948
2024-07-15,P136,W9,12,24960
2025-06-19,P182,W5,49,46305
2025-12-17,P130,W9,24,38712
2025-02-13,P125,W9,45,65070
2024-10-08,P173,W9,27,4131
2024-04-01,P190,W2,31,19530
2025-09-06,P191,W5,20,34760
2025-05-08,P139,W6,17,34544
2024-06-07,P198,W4,1,2245
2024-09-03,P124,W8,9,17739
2025-03-22,P105,W8,4,3164
2025-07-16,P137,W6,38,12692
2025-07-07,P161,W1,24,20472
2025-05-20,P104,W9,30,54480
2025-05-05,P131,W7,25,2975
2025-08-11,P173,W10,26,30082
2024-05-14,P168,W9,30,11190
2025-06-24,P128,W7,37,87024
2024-02-09,P174,W2,12,7908
2024-09-04,P183,W2,14,30660
2025-10-03,P181,W10,10,14890
2024-07-22,P184,W8,10,8260
2024-05-06,P190,W10,47,100110
2025-06-03,P108,W4,6,5766
2024-10-05,P110,W9,31,24552
2024-11-01,P105,W2,47,26837
2024-05-09,P121,W8,23,36754
2024-05-21,P125,W4,25,45900
2024-12-06,P101,W10,16,14016
2025-11-15,P155,W2,29,20097
2025-11-15,P100,W6,40,41360
2025-04-25,P119,W8,43,15265
2024-08-27,P155,W10,23,43585
2025-02-01,P188,W2,35,14665
2025-07-02,P126,W4,7,17248
2024-09-23,P128,W1,48,40512
2025-10-14,P134,W3,15,2940
2024-03-14,P149,W6,35,5740
2025-01-24,P152,W3,1,645
2024-03-14,P196,W1,10,10780
2025-03-27,P151,W9,2,4998
2024-04-14,P141,W10,34,23290
2025-09-25,P117,W2,24,30696
2024-01-10,P110,W6,41,57523
2024-12-01,P142,W1,23,9936
2024-09-22,P173,W8,20,8660
2025-01-19,P145,W4,25,5675
2025-07-31,P101,W2,46,52900
2025-08-25,P123,W9,6,6738
2024-07-05,P117,W1,14,18018
2025-12-05,P143,W10,43,66779
2025-11-13,P192,W3,18,20250
2024-03-03,P169,W10,38,27284
2025-02-28,P150,W5,27,37746
2024-06-09,P178,W2,10,12170
2024-12-24,P197,W8,43,90472
2025-02-27,P129,W8,23,35075
2025-09-07,P144,W1,47,16638
2024-01-16,P189,W6,39,56433
2025-12-13,P119,W4,18,25380
2025-06-05,P128,W6,35,42315
2024-08-07,P122,W7,44,16632
2025-10-02,P192,W1,38,48412
2025-08-11,P129,W7,20,4780
2025-06-19,P187,W4,15,23580
2025-09-27,P165,W1,46,110354
2025-05-04,P115,W5,22,19844
2025-09-15,P159,W1,31,21266
2025-06-03,P140,W3,8,5000
2025-02-11,P194,W4,35,52080
2024-06-01,P165,W6,35,45150
2024-07-28,P158,W2,46,76958
2024-03-05,P151,W1,49,102704
2025-06-15,P140,W9,22,41756
2025-09-01,P152,W7,24,3456
2024-03-10,P134,W4,39,87711
2024-02-20,P122,W2,36,10548
2025-07-21,P190,W10,26,49634
2025-11-26,P101,W7,45,80685
2025-01-29,P158,W3,47,33276
2024-12-28,P102,W8,26,23452
2024-01-19,P148,W2,11,26059
2025-07-30,P179,W8,10,18730
2025-09-02,P168,W7,43,28165
2024-06-29,P158,W2,29,16298
2024-10-07,P103,W5,32,20000
2024-02-22,P116,W8,39,59007
2024-07-12,P155,W3,24,28248
2024-12-25,P176,W5,10,23810
2024-01-24,P123,W5,4,5280
2024-08-22,P162,W7,33,43494
2024-03-24,P149,W10,8,7352
2024-05-03,P132,W1,43,13889
2025-07-22,P126,W3,28,19096
2024-11-20,P195,W5,43,82173
2024-03-20,P140,W2,43,78131
2024-07-06,P122,W3,24,43296
2025-05-26,P105,W6,3,2019
2024-08-08,P181,W9,44,59708
2024-08-20,P151,W3,42,55524
2025-08-17,P142,W9,33,53823
2024-11-14,P154,W6,17,29036
2024-02-09,P113,W5,21,46095
2025-10-12,P147,W8,20,28680
2025-03-23,P114,W9,5,2800
2024-01-11,P108,W2,46,31694
2025-10-17,P158,W2,28,51128
2024-09-26,P177,W7,15,35445
2024-11-02,P110,W10,5,1655
2024-12-22,P136,W5,25,10450
2025-09-10,P121,W8,17,20927
2025-02-21,P174,W6,2,2386
2025-10-15,P172,W9,17,31688
2025-04-08,P139,W6,21,39711
2025-04-25,P100,W2,42,66780
2025-01-23,P123,W1,15,13335
2025-04-08,P132,W4,12,7824
2024-09-08,P126,W1,47,33323
2024-06-10,P107,W6,41,44321
2025-09-03,P116,W3,20,19920
2025-11-21,P193,W10,46,71990
2024-07-13,P106,W6,2,2236
2024-04-08,P118,W2,38,25346
2024-06-07,P111,W7,27,66366
2025-03-28,P148,W6,15,25350
2024-03-31,P190,W7,7,10472
2024-02-19,P175,W3,16,37248
2025-07-03,P184,W9,18,17316
2025-03-18,P183,W3,40,52880
2025-10-27,P144,W8,11,19558
2024-05-23,P199,W6,31,19344
2025-07-22,P147,W2,14,13090
2025-08-04,P126,W8,18,16236
2025-10-08,P130,W2,22,44748
2025-07-15,P120,W6,8,18760
2025-04-12,P105,W4,40,39200
2024-01-18,P178,W1,32,78784
2025-05-03,P108,W4,43,26402
2024-07-14,P101,W5,18,8226
2024-03-31,P157,W9,9,945
2025-11-08,P171,W4,34,55182
2024-01-31,P126,W4,33,43791
2024-04-30,P118,W2,18,5580
2025-08-07,P151,W6,23,40227
2024-12-19,P131,W10,31,51119
2024-05-02,P154,W6,27,35397
2024-04-17,P167,W9,46,69690
2024-04-12,P188,W6,25,32600
2024-10-07,P154,W10,17,32385
2024-06-06,P169,W2,31,35557
2025-05-19,P100,W8,35,6930
2024-10-01,P103,W10,4,5776
2025-01-04,P116,W9,45,112275
2025-01-01,P102,W10,35,65730
2025-05-21,P170,W10,29,47763
2025-04-08,P112,W2,41,35137
2025-05-03,P195,W5,15,12360
2025-10-24,P190,W8,13,7618
2025-05-11,P176,W9,18,22752
2024-06-15,P174,W9,15,18015
2025-05-01,P162,W1,26,20748
2024-08-27,P149,W4,35,19250
2024-09-29,P107,W4,45,77265
2025-11-13,P159,W2,34,37468
2025-09-07,P113,W5,39,44538
2024-08-20,P100,W10,24,56568
2025-10-25,P136,W10,34,84320
2024-04-16,P115,W8,14,26292
2024-11-17,P171,W6,7,5026
2024-01-30,P151,W10,4,6672
2024-08-02,P174,W5,38,41458
2024-10-22,P183,W2,7,805
2024-05-01,P176,W1,39,53235
2024-05-15,P117,W9,11,10879
2025-06-10,P197,W5,37,64380
2024-01-31,P192,W7,13,9165
2025-03-08,P110,W2,10,15350
2025-07-14,P114,W10,48,24192
2025-07-17,P152,W5,43,79507
2024-07-25,P111,W1,3,3708
2025-10-26,P191,W8,32,60832
2024-02-23,P169,W3,40,8160
2025-07-12,P153,W1,11,9328
2025-05-20,P108,W5,29,59247
2024-05-20,P136,W7,11,14894
2025-03-19,P145,W5,34,4522
2024-07-02,P169,W6,12,3684
2024-03-18,P136,W9,25,41125
2024-10-13,P115,W1,22,54780
2024-04-06,P118,W5,14,23730
2024-02-27,P165,W4,45,75150
2024-08-04,P128,W8,44,91344
2024-11-01,P160,W6,43,18490
2024-09-02,P187,W3,45,28575
2024-07-14,P124,W9,43,84237
2024-11-02,P128,W5,45,92610
2024-08-31,P126,W4,21,51156
2024-10-20,P121,W1,23,30682
2025-07-21,P168,W10,34,16932
2024-05-07,P103,W5,14,30254
2025-09-10,P151,W7,17,24021
2024-05-27,P200,W8,21,11676
2025-10-11,P112,W10,9,9045
2025-11-03,P112,W1,35,55650
2024-07-02,P153,W2,26,52234
2024-07-07,P103,W9,49,16170
2025-07-12,P171,W10,1,1214
2025-08-09,P175,W3,19,32053
2024-04-30,P120,W8,33,15939
2024-11-09,P100,W8,13,29432
2024-04-11,P196,W9,20,18160
2025-10-22,P134,W6,25,8850
2025-06-24,P162,W9,15,30255
2025-07-17,P125,W2,3,2880
2025-10-29,P106,W3,9,1755
2024-10-24,P186,W2,45,65430
2024-06-06,P134,W6,20,35040
2025-07-27,P189,W5,10,11080
2025-01-24,P182,W6,41,12341
2025-04-08,P141,W6,12,3252
2025-05-17,P199,W10,48,42288
2024-06-02,P166,W5,29,9918
2025-06-12,P161,W5,13,9425
2025-04-11,P151,W4,43,53578
2024-08-03,P176,W2,30,25770
2025-01-19,P155,W4,18,19962
2025-08-03,P159,W1,8,14472
2025-03-18,P176,W10,2,3756
2024-06-01,P181,W9,44,104236
2024-11-30,P155,W4,4,9756
2024-08-26,P151,W1,38,94734
2024-09-21,P126,W3,36,42768
2025-02-25,P180,W2,27,14202
2025-05-09,P156,W6,30,52260
2025-04-01,P118,W3,49,72177
2024-02-18,P192,W10,10,24350
2025-03-28,P171,W1,2,2226
2025-06-01,P159,W4,12,24480
2024-02-16,P152,W7,42,26208
2025-03-30,P129,W5,5,6100
2025-12-28,P190,W2,32,47840
2024-06-10,P146,W6,4,5512
2024-02-08,P144,W4,29,3770
2025-02-05,P122,W7,46,98026
2025-03-15,P185,W8,10,10500
2025-08-27,P126,W9,10,21700
2024-05-06,P175,W7,32,74656
2025-01-29,P129,W4,21,8337
2024-05-15,P197,W5,27,53271
2024-06-14,P106,W6,28,42924
2025-11-12,P133,W5,12,21936
2024-08-23,P163,W5,29,17864
2024-03-10,P174,W8,7,12747
2025-04-29,P190,W3,40,68440
2024-06-17,P197,W3,21,45423
2025-12-04,P197,W1,41,23124
2025-08-05,P167,W8,31,50065
2024-11-21,P142,W8,42,42546
2025-01-28,P163,W9,4,6608
2025-06-28,P151,W10,36,18648
2024-03-15,P150,W1,26,62530
2025-09-03,P124,W9,31,72230
2024-01-08,P161,W8,5,10615
2024-01-14,P141,W4,20,8080
2024-11-15,P130,W9,45,39780
2025-06-21,P193,W1,5,8110
2025-08-21,P156,W8,7,15064
2025-07-03,P127,W7,26,35932
2025-09-01,P125,W8,42,4620
2024-06-11,P150,W1,25,61200
2024-05-17,P130,W3,13,18733
2024-07-01,P189,W10,23,7820
2024-08-30,P178,W8,18,40068
2024-10-18,P111,W3,31,43493
2025-02-15,P130,W7,31,58683
2024-03-12,P148,W6,48,80736
2024-12-21,P103,W9,11,16665
2024-03-07,P107,W5,25,60850
2025-04-22,P182,W8,26,64558
2024-02-03,P174,W7,23,21459
2024-12-12,P115,W8,24,30000
2024-10-24,P100,W2,37,41551
2024-03-28,P150,W4,39,12714
2025-11-28,P189,W2,10,18910
2025-04-24,P113,W4,47,115150
2025-03-28,P172,W10,31,11625
2025-04-09,P142,W4,44,65472
2025-01-16,P158,W2,21,9387
2024-03-04,P124,W6,20,42040
2025-10-22,P196,W9,25,32025
2024-01-31,P106,W10,17,16388
2024-11-11,P162,W6,17,25823
2025-08-21,P108,W8,8,19840
2024-07-19,P118,W6,14,31794
2024-04-27,P138,W9,5,6635
2024-06-19,P101,W8,47,6909
2025-07-18,P124,W8,15,16845
2025-09-20,P166,W1,47,45355
2025-07-15,P142,W3,48,82272
2025-06-30,P175,W10,44,19580
2024-08-06,P101,W5,27,3996
2025-12-03,P120,W2,6,4374
2025-04-18,P135,W2,42,67872
2024-01-14,P141,W5,32,44672
2024-10-18,P193,W5,7,6643
2024-08-20,P140,W6,30,61080
2024-07-15,P100,W10,40,52120
2024-09-05,P123,W8,32,5088
2025-02-06,P152,W10,15,34380
2024-05-14,P194,W1,48,82992
2025-08-24,P199,W6,24,23184
2024-02-05,P127,W6,35,8295
2024-03-22,P161,W2,27,64692
2025-10-15,P108,W1,43,23650
2025-02-20,P182,W6,22,43428
2024-01-14,P109,W2,49,19894
2025-06-23,P127,W1,45,50445
2024-06-28,P139,W8,20,8400
2024-09-21,P146,W2,24,59280
2024-05-19,P193,W3,19,33554
2024-01-23,P130,W5,18,37404
2025-11-15,P146,W4,15,4110
2024-11-22,P171,W9,2,2784
2025-01-04,P179,W9,29,20242
2024-10-17,P146,W9,37,42957
2024-02-25,P173,W8,6,9648
2024-06-24,P132,W1,8,11680
2024-05-31,P166,W1,9,1998
2025-09-18,P176,W5,15,5310
2024-01-03,P133,W5,21,46032
2025-10-06,P135,W2,18,17190
2025-02-10,P165,W5,26,59618
2025-02-27,P116,W6,3,2727
2024-08-27,P199,W1,34,37604
2025-01-04,P191,W3,37,75591
2024-08-09,P108,W4,46,6486
2024-11-25,P134,W8,49,82271
2024-02-23,P173,W3,48,74352
2025-01-01,P170,W2,17,8194
2025-11-26,P157,W10,17,5100
2025-12-11,P154,W9,41,22468
2024-02-13,P173,W8,45,83745
2025-07-05,P124,W6,37,52059
2024-05-02,P120,W4,33,33891
2025-01-20,P177,W7,1,603
2024-03-13,P198,W3,4,2000
2024-02-19,P155,W5,26,14742
2024-01-09,P164,W10,44,75680
2025-05-30,P123,W4,10,5390
2025-02-02,P119,W4,16,27888
2024-05-12,P114,W9,1,1969
2025-01-01,P145,W9,33,36498
2025-03-22,P200,W3,7,10759
2024-01-26,P130,W7,16,35664
2024-10-29,P130,W10,19,16872
2024-01-26,P196,W9,2,3414
2025-07-21,P134,W3,31,32054
2025-02-26,P165,W7,11,3146
2024-10-12,P189,W5,10,17910
2025-04-21,P186,W2,6,14436
2025-02-19,P105,W9,44,30448
2025-11-10,P200,W2,6,5154
2025-11-22,P158,W2,30,3420
2024-08-25,P172,W5,1,854
2025-10-11,P138,W2,33,68013
2025-04-19,P172,W1,33,62304
2025-11-19,P176,W10,49,67669
2025-08-16,P199,W2,20,19700
2025-06-14,P175,W8,6,10842
2025-07-23,P190,W3,29,10324
2025-12-22,P189,W8,36,13608
2024-09-12,P135,W5,30,70740
2024-02-24,P114,W8,8,9800
2025-06-11,P105,W9,39,57135
2025-01-28,P182,W10,28,5656
2025-09-17,P160,W4,40,97720
2024-06-17,P167,W1,20,45560
2024-02-23,P104,W2,29,6177
2025-04-12,P180,W5,22,45870
2025-09-24,P101,W1,13,6097
2024-11-23,P164,W10,18,26262
2024-04-27,P181,W8,35,46165
2025-03-21,P128,W6,17,34323
2025-01-28,P130,W7,10,1660
2025-06-09,P137,W9,27,34641
2024-07-23,P126,W4,34,18428
2025-10-12,P169,W9,37,72853
2025-11-24,P173,W5,15,9030
2024-09-15,P156,W2,38,18772
2024-06-25,P154,W1,23,41791
2024-03-30,P181,W9,14,2268
